epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,loss,lr,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
53,0.9942757487297058,0.6825986504554749,0.6701162457466125,0.6809379458427429,0.3806470036506653,0.017245175316929817,0.001,0.664710521697998,0.9957144260406494,0.993168830871582,0.9985759258270264,0.9933958649635315,0.6649838089942932,0.6313499212265015,0.6427975296974182,0.3875218629837036,0.021498262882232666,0.5908036231994629,0.9948724508285522,0.9922638535499573,0.9982969760894775
54,0.9942774772644043,0.6815057992935181,0.6680300831794739,0.6788837909698486,0.3804146945476532,0.01721854880452156,0.001,0.6486396193504333,0.9957320094108582,0.99317467212677,0.99858158826828,0.9935774803161621,0.6740561127662659,0.656234860420227,0.677276611328125,0.3644019663333893,0.02133840322494507,0.7249025106430054,0.9949564933776855,0.9924874901771545,0.9983240962028503
55,0.9939691424369812,0.6752809286117554,0.6537541747093201,0.6751465797424316,0.37367764115333557,0.018406882882118225,0.001,0.6602252721786499,0.9954870343208313,0.992804765701294,0.9985004663467407,0.993435263633728,0.6656851768493652,0.6524989008903503,0.6619765162467957,0.3500041365623474,0.021863769739866257,0.7145339250564575,0.9948757290840149,0.9923099875450134,0.9982973337173462
56,0.9939451217651367,0.6733728051185608,0.6508654952049255,0.675190806388855,0.3689059317111969,0.018551714718341827,0.001,0.6313326954841614,0.9954602122306824,0.9927874207496643,0.9984920620918274,0.9933746457099915,0.6674505472183228,0.6265950202941895,0.6983592510223389,0.3466102182865143,0.02155637927353382,0.5771547555923462,0.9949231743812561,0.9921587109565735,0.998314380645752
57,0.9943848848342896,0.688991129398346,0.6761425137519836,0.6909137964248657,0.3901866674423218,0.016849035397171974,0.001,0.6240239143371582,0.9958251118659973,0.9932839274406433,0.9986135959625244,0.9930533170700073,0.6668722629547119,0.6050295233726501,0.6682326793670654,0.39612719416618347,0.023202475160360336,0.5286646485328674,0.9946210980415344,0.991868793964386,0.9982134699821472
58,0.9940609335899353,0.6758653521537781,0.6577121019363403,0.6655248999595642,0.38164961338043213,0.01817820779979229,0.001,0.6972881555557251,0.9955517649650574,0.9929232001304626,0.9985225200653076,0.9928800463676453,0.627639651298523,0.5922793745994568,0.6162862777709961,0.3038824796676636,0.024216672405600548,0.6977506875991821,0.994382917881012,0.9917474389076233,0.9981342554092407
59,0.9943839311599731,0.6873684525489807,0.6777125597000122,0.6839524507522583,0.3890880048274994,0.016863835975527763,0.001,0.6748584508895874,0.995794951915741,0.9933032393455505,0.9986032247543335,0.9934807419776917,0.664182722568512,0.63838791847229,0.6708062887191772,0.3492538332939148,0.021826380863785744,0.6538608074188232,0.9949858784675598,0.992294192314148,0.9983342885971069
60,0.9945471286773682,0.694087564945221,0.6862293481826782,0.6943777203559875,0.39696621894836426,0.01634170301258564,0.001,0.6908230781555176,0.9959519505500793,0.993467390537262,0.998654842376709,0.9933307766914368,0.678271472454071,0.626503586769104,0.6690862774848938,0.4192284643650055,0.021603552624583244,0.5692233443260193,0.9949328899383545,0.9920827746391296,0.998317539691925
61,0.9944513440132141,0.6918199062347412,0.681113064289093,0.6923544406890869,0.39509040117263794,0.01668172888457775,0.001,0.6635564565658569,0.9958583116531372,0.9933741092681885,0.9986245036125183,0.9932448863983154,0.6809608340263367,0.6640453934669495,0.6730796694755554,0.38854292035102844,0.021716007962822914,0.6350582242012024,0.9946921467781067,0.9921014308929443,0.9982364773750305
62,0.9945351481437683,0.6931302547454834,0.6854531764984131,0.6921901702880859,0.3960990011692047,0.01634315215051174,0.001,0.7304223775863647,0.9959401488304138,0.9934594631195068,0.9986506700515747,0.9934023022651672,0.6635029911994934,0.6083151698112488,0.6877378225326538,0.3597957491874695,0.022526198998093605,0.7469624280929565,0.9945571422576904,0.9925517439842224,0.998190701007843
